Datetime,Run Name,Finished,Table,Platform,Model,Target,Data,Mode,Pretrained Model,Embedding Dimension,Word Dimension,Dropout,BoW Classifier,BoW LR C,BoW RF Estimators,CNN Output Channels,CNN Weight Decay,LSTM Layers,LSTM Hidden Dimension,LSTM Bidirectional,LSTM Wt Dropout,LSTM Embed Dropout,Max Tokens,CUDA Blocking,Epochs,Learning Rate,Patience,Class Imbalance Fix,Accuracy,Balanced Accuracy,AUC,F1,Recall,Precision,Specificity,PPV,NPV,TP,TN,FP,FN,LaTeX String,Table Extra
,BoW_20230101-1513,20230101-1523,survival_dif_lengths,SCAR_NLP,BoW,surv_mo_6,ppv4,,,,,,l2logreg,1.0,50.0,,,,,,,,5000.0,0.0,1.0,,5.0,loss_weight,0.849326491355896,0.8564628958702087,0.9282808899879456,0.9073634147644044,0.8468543887138367,0.9771847128868104,0.8660714030265808,0.9771847345132744,0.4550106609808102,7067.0,1067.0,165.0,1278.0,BoW & 6 & 0.849 & 0.856 & 0.928 & 0.907 & 0.977 & 0.866 \\,6
,CNN_20230101-1542,20230101-1614,survival_dif_lengths,SCAR_NLP,CNN,surv_mo_6,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.8,,,,500.0,0.0,,,,,,,False,100.0,5e-05,5.0,loss_weight,0.8428526520729065,0.8530940413475037,0.9257505536079408,0.9029845595359802,0.8393049836158752,0.9771205186843872,0.8668830990791321,0.9771205357142856,0.4433374844333748,7004.0,1068.0,164.0,1341.0,CNN & 6 & 0.843 & 0.853 & 0.926 & 0.903 & 0.977 & 0.867 \\,6
,LSTM_20230101-1654,20230101-2128,survival_dif_lengths,SCAR_NLP,LSTM,surv_mo_6,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,,,0.0,1.0,512.0,True,0.3,0.2,,False,100.0,5e-05,5.0,loss_weight,0.7993108630180359,0.847135066986084,0.9228156208992004,0.8717469573020935,0.7827441692352295,0.9835867881774902,0.9115259647369384,0.9835868092154796,0.3824931880108992,6532.0,1123.0,109.0,1813.0,LSTM & 6 & 0.799 & 0.847 & 0.923 & 0.872 & 0.984 & 0.912 \\,6
,BERT_20230103-0940,20230103-2101,survival_dif_lengths_extra,SCAR_NLP,BERT,surv_mo_6,ppv4,,bert-base-uncased,,,,,,,,0.001,,,,,,512.0,False,100.0,5e-05,5.0,loss_weight,0.8589328527450562,0.8152749538421631,0.9063377976417542,0.9152393341064452,0.874056339263916,0.960495114326477,0.7564935088157654,0.960495114326477,0.4699949622154236,7294.0,932.0,300.0,1051.0,BERT & 6 & 0.859 & 0.815 & 0.906 & 0.915 & 0.96 & 0.756 \\,6
,BoW_20230106-2332,20230106-2342,survival_dif_lengths_multi,SCAR_NLP,BoW,surv_mo_6,ppv4,,,,,,l2logreg,1.0,50.0,,,,,,,,5000.0,False,1.0,,5.0,loss_weight,0.849326491355896,0.8564628958702087,0.9282808899879456,0.9073634147644044,0.8468543887138367,0.9771847128868104,0.8660714030265808,0.9771847345132744,0.4550106609808102,7067.0,1067.0,165.0,1278.0,BoW & 6 & 0.849 & 0.856 & 0.928 & 0.907 & 0.977 & 0.866 \\,6
,CNN_20230107-0002,20230107-0037,survival_dif_lengths_multi,SCAR_NLP,CNN,surv_mo_6,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.8,,,,500.0,0.0,,,,,,,False,100.0,5e-05,5.0,loss_weight,0.8508927822113037,0.8542482852935791,0.9258193969726562,0.9085202217102052,0.849730372428894,0.976049542427063,0.8587662577629089,0.9760495526496904,0.4576124567474048,7091.0,1058.0,174.0,1254.0,CNN & 6 & 0.851 & 0.854 & 0.926 & 0.909 & 0.976 & 0.859 \\,6
,LSTM_20230107-0156,20230107-0644,survival_dif_lengths_multi,SCAR_NLP,LSTM,surv_mo_6,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,,,0.0,1.0,512.0,True,0.3,0.2,,False,100.0,5e-05,5.0,loss_weight,0.8122585415840149,0.8479920625686646,0.922024428844452,0.8813043832778931,0.7998801469802856,0.9811847805976868,0.8961039185523987,0.9811847714243715,0.3979812545061283,6675.0,1104.0,128.0,1670.0,LSTM & 6 & 0.812 & 0.848 & 0.922 & 0.881 & 0.981 & 0.896 \\,6
,BERT_20230107-2341,20230108-1135,survival_dif_lengths_multi_extra,SCAR_NLP,BERT,surv_mo_6,ppv4,,bert-base-uncased,,,,,,,,0.001,,,,,,512.0,False,100.0,5e-05,5.0,loss_weight,0.8724026083946228,0.8129721879959106,0.9011921882629396,0.9242218136787416,0.8929898142814636,0.9577175378799438,0.7329545617103577,0.9577175378799438,0.5027839541435242,7452.0,903.0,329.0,893.0,BERT & 6 & 0.872 & 0.813 & 0.901 & 0.924 & 0.958 & 0.733 \\,6
,BoW_20230110-0944,20230110-0954,survival_dif_lengths_multi,SCAR_NLP,BoW,surv_mo_6,ppv4,,,,,,l2logreg,1.0,50.0,,,,,,,,5000.0,False,1.0,,5.0,loss_weight,0.849326491355896,0.8564628958702087,0.9282808899879456,0.9073634147644044,0.8468543887138367,0.9771847128868104,0.8660714030265808,0.9771847345132744,0.4550106609808102,7067.0,1067.0,165.0,1278.0,BoW & 6 & 0.849 & 0.856 & 0.928 & 0.907 & 0.977 & 0.866 \\,6
,CNN_20230110-1013,20230110-1043,survival_dif_lengths_multi,SCAR_NLP,CNN,surv_mo_6,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.8,,,,500.0,0.0,,,,,,,False,100.0,5e-05,5.0,loss_weight,0.8527722954750061,0.8542890548706055,0.9251669645309448,0.9098119735717772,0.852246880531311,0.9757168292999268,0.8563311696052551,0.9757168335848538,0.4611013986013986,7112.0,1055.0,177.0,1233.0,CNN & 6 & 0.853 & 0.854 & 0.925 & 0.91 & 0.976 & 0.856 \\,6
,LSTM_20230110-1203,20230110-1858,survival_dif_lengths_multi,SCAR_NLP,LSTM,surv_mo_6,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,,,0.0,1.0,512.0,True,0.3,0.2,,False,100.0,5e-05,5.0,loss_weight,0.8313668370246887,0.8544596433639526,0.9254441261291504,0.8948361873626709,0.8233672976493835,0.97989159822464,0.885551929473877,0.9798916143753564,0.4253411306042885,6871.0,1091.0,141.0,1474.0,LSTM & 6 & 0.831 & 0.854 & 0.925 & 0.895 & 0.98 & 0.886 \\,6
,BERT_20230111-0819,20230111-1918,survival_dif_lengths_multi_extra,SCAR_NLP,BERT,surv_mo_6,ppv4,,bert-base-uncased,,,,,,,,0.001,,,,,,512.0,False,100.0,5e-05,5.0,loss_weight,0.7989975810050964,0.828275203704834,0.9037445783615112,0.8724405765533447,0.7888556122779846,0.9758375287055969,0.8676947951316833,0.9758375287055969,0.3776050806045532,6583.0,1069.0,163.0,1762.0,BERT & 6 & 0.799 & 0.828 & 0.904 & 0.872 & 0.976 & 0.868 \\,6
