epoch,acc,bal_acc,auc,prec,rec,f1,loss,epoch
0,0.43081411719322205,0.5,0.48781633377075195,0.0,0.0,0.0,0.0,0.0
1,0.43081411719322205,0.497785359621048,0.5017073154449463,0.5,0.013790386728942394,0.026840491220355034,0.0,1.0
2,0.49069297313690186,0.519254207611084,0.5202226638793945,0.6010597944259644,0.31284475326538086,0.4115055799484253,0.0,2.0
3,0.5196232199668884,0.5323292016983032,0.5403145551681519,0.6076086759567261,0.4405043423175812,0.5107355117797852,0.0,3.0
4,0.5254541635513306,0.5470059514045715,0.5598916411399841,0.6349104642868042,0.39125296473503113,0.48415407538414,0.0,4.0
5,0.5597667694091797,0.5493698120117188,0.5727053880691528,0.610789954662323,0.624507486820221,0.617572546005249,0.0,5.0
6,0.5559542775154114,0.5565245151519775,0.5804500579833984,0.6242208480834961,0.552403450012207,0.5861204266548157,0.0,6.0
7,0.563579261302948,0.5613876581192017,0.5841785669326782,0.6266039609909058,0.5772261619567871,0.6009023785591125,0.0,7.0
8,0.5541601181030273,0.5586817264556885,0.5878173112869263,0.6297169923782349,0.5260047316551208,0.573207437992096,0.0,8.0
9,0.5642520785331726,0.5637503862380981,0.5909812450408936,0.6301969289779663,0.567375898361206,0.5971387028694153,0.0,9.0
10,0.555057168006897,0.5626968145370483,0.5946851968765259,0.6369930505752563,0.5074862241744995,0.5649122595787048,0.0,10.0
11,0.5673918128013611,0.5709377527236938,0.598075807094574,0.6410375237464905,0.5453112721443176,0.5893123745918274,0.0,11.0
12,0.5687373876571655,0.5719932317733765,0.6021782755851746,0.6417704224586487,0.5484633445739746,0.5914595127105713,0.0,12.0
13,0.5725498795509338,0.5786327123641968,0.6066847443580627,0.6517771482467651,0.5346729755401611,0.587445855140686,0.0,13.0
14,0.572101354598999,0.58406001329422,0.611579418182373,0.6661392450332642,0.49763593077659607,0.5696887969970703,0.0,14.0
15,0.565373420715332,0.5777069330215454,0.6155925989151001,0.6595744490623474,0.48857367038726807,0.5613400340080261,0.0,15.0
16,0.5781565308570862,0.5834312438964844,0.617542028427124,0.6556134819984436,0.5453112721443176,0.595396876335144,0.0,16.0
17,0.5604395866394043,0.577042818069458,0.6212058663368225,0.665901243686676,0.4570527970790863,0.5420560836791992,0.0,17.0
18,0.556851327419281,0.5747765898704529,0.6225653290748596,0.6654888391494751,0.44523248076438904,0.5335221886634827,0.0,18.0
19,0.5743440389633179,0.5861566066741943,0.6258326768875122,0.668243944644928,0.5007880330085754,0.5725225210189819,0.0,19.0
20,0.5691859126091003,0.5859282612800598,0.6291132569313049,0.6769936680793762,0.46493300795555115,0.5512730479240417,0.0,20.0
21,0.5913882255554199,0.5979019999504089,0.6304962635040283,0.6721153855323792,0.5508274435997009,0.6054568886756897,0.0,21.0
22,0.5788293480873108,0.5902233123779297,0.6323864459991455,0.6720542311668396,0.5078802108764648,0.5785457491874695,0.0,22.0
23,0.5895940661430359,0.598160982131958,0.6349552273750305,0.6757696270942688,0.536249041557312,0.5979788899421692,0.0,23.0
24,0.5729984045028687,0.592314600944519,0.6366678476333618,0.690504789352417,0.4527186453342438,0.5468824505805969,0.0,24.0
25,0.5913882255554199,0.5950546264648438,0.6356405019760132,0.664976954460144,0.5685579180717468,0.6129992008209229,0.0,25.0
26,0.5875756740570068,0.600184440612793,0.6404094696044922,0.6854111552238464,0.5090622305870056,0.5842188000679016,0.0,26.0
27,0.5799506902694702,0.5970929861068726,0.6413754224777222,0.6914219856262207,0.4732072353363037,0.561871349811554,0.0,27.0
28,0.5958735346794128,0.6006398797035217,0.6398084759712219,0.6721234917640686,0.5661938786506653,0.6146278977394104,0.0,28.0
29,0.5826418399810791,0.6033800840377808,0.6444962024688721,0.708307683467865,0.4535067081451416,0.5529665946960449,0.0,29.0
30,0.5882484912872314,0.6027369499206543,0.6455188989639282,0.6922233700752258,0.4980299472808838,0.5792850255966187,0.0,30.0
31,0.595649242401123,0.6003162860870361,0.6450911164283752,0.6716487407684326,0.5665878653526306,0.6146612167358398,0.0,31.0
32,0.5945279002189636,0.6033809185028076,0.6466019153594971,0.6817728877067566,0.539401113986969,0.602287769317627,0.0,32.0
33,0.5947521924972534,0.6006672382354736,0.6457943320274353,0.67396479845047,0.5579196214675903,0.6104763746261597,0.0,33.0
34,0.5943036675453186,0.6079928874969482,0.6477822065353394,0.6964959502220154,0.5090622305870056,0.5882084965705872,0.0,34.0
35,0.5949764251708984,0.6073184013366699,0.6487910747528076,0.6928345561027527,0.518124520778656,0.5928764939308167,0.0,35.0
36,0.5987889766693115,0.6011761426925659,0.6461465954780579,0.6690744757652283,0.5839243531227112,0.6236061453819275,0.0,36.0
37,0.5985646843910217,0.596739649772644,0.644960343837738,0.6592844724655151,0.609929084777832,0.6336471438407898,0.0,37.0
38,0.6012558937072754,0.6032799482345581,0.6453006267547607,0.6705565452575684,0.588652491569519,0.6269408464431763,0.0,38.0
39,0.6034985184669495,0.6039844751358032,0.646199643611908,0.6690079569816589,0.6004728078842163,0.6328904032707214,0.0,39.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 50
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\datasets
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv3
target: emots
debug: False
dataset: SCAR
max_tokens: 512
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\models
pretrained_file: bert-base-uncased
device: cuda:0
